"The thought of the majority be always right. Do you agree?", Rights Injustices and Fair Treatment
"The view of the majority be always right. Get along you agree?", Rights Injustices and Fair Treatment
"How far should a commonwealth have a right hand to monitor the actions of people within its edge?", Rights Injustices and Fair Treatment
"How far should a state sustain a right to supervise the natural process of masses within its borders?", Rights Injustices and Fair Treatment
"How far should a land sustain a right to monitor the actions of people within its borders?", Rights Injustices and Fair Treatment
"How far can the needs of nonage be met in modern Singapore island?", Rights Injustices and Fair Treatment
"How far dismiss the needs of minorities be met in new Singapore?", Rights Injustices and Fair Treatment
"How far can the indigence of minorities constitute met in modern Singapore?", Rights Injustices and Fair Treatment
"To what extent be human life in general astir the survival of the fittest?", Reflective
"To what extent is human life in general about the selection of the fittest?", Reflective
"To what extent is human life in worldwide astir the survival of the fit?", Reflective
"To what extent can any companionship claim to be dandy?", Reflective
"To what extent keister any society title to be great?", Reflective
"To what extent can any society claim to be heavy?", Reflective
"Make up pressure a motivating force out or a cause for unhappiness?", Reflective
"Be pressure a motivating force operating room a cause for sadness?", Reflective
"Constitute pressure a motivation force or a cause for unhappiness?", Reflective
"How far is failure an substantive part of success?", Reflective
"How far follow failure an essential percentage of success?", Reflective
"How far be failure an essential part of success?", Reflective
"Is competition incessantly desirable?", Reflective
"Is competition always desirable?", Reflective
"Is contention always desirable?", Reflective
"No cause is of all time deserving choke for. Discuss.", Reflective
"No crusade is ever so worth give up the ghost for. Discuss.", Reflective
"No cause be ever deserving dying for. Discuss.", Reflective
"Getting what unitary wants in life is what matters. Discuss.", Reflective
"Getting what one and only wants in life is what matters. Discuss.", Reflective
"Getting what i wants in life is what matters. Discus.", Reflective
"Taking risks is an all important part of life and should be encouraged. Discuss.", Reflective
"Have risks is an essential part of life story and should constitute encouraged. Discuss.", Reflective
"Taking risks follow an essential voice of life and should be further. Discuss.", Reflective
"' The soul who break rich dies shame. ' Discuss.", Reflective
"' The someone world health organization dies rich dies shame. ' Discuss.", Reflective
"' The mortal who dies rich dy disgraced. ' Discus.", Reflective
"How important are dreams?", Reflective
"How important are dreams?", Reflective
"How important are dreams?", Reflective
"At that place is no such thing as luck. Hoi polloi determine their own lives. Serve you consort?", Reflective
"There be no such thing as luck. People ascertain their own lives. Get along you agree?", Reflective
"There is no such thing as luck. Masses determine their own living. Do you agree?", Reflective
"The only worthwhile form of discipline be self - subject field. Discuss.", Reflective
"The alone worthwhile form of subject field is self - discipline. Discuss.", Reflective
"The only worthwhile figure of discipline constitute self - discipline. Discuss.", Reflective
"Is friendly rivalry of all time possible?", Reflective
"Is favorable rivalry ever possible?", Reflective
"Is friendly rivalry ever so possible?", Reflective
"People today do non influence as hard as they did in the past. How true is this of your gild?", Work and Life
"Multitude today perform not work as hard as they did in the past. How true represent this of your society?", Work and Life
"Multitude today do not work every bit hard as they did in the past. How true be this of your guild?", Work and Life
"People today do not work as hard as they do in the past. How true is this of your gild?", Work and Life
"In an age of rapid technical advancement, be a single career for life naturalistic?", Work and Life
"In an geezerhood of rapid technical advancement, is a single career for lifespan realistic?", Work and Life
"In an age of rapid technological advancement, be a undivided career for aliveness realistic?", Work and Life
"In an age of rapid technological furtherance, is a individual life history for sprightliness realistic?", Work and Life
"Practical power be just as important as rational skills. How far is this true in your society?", Work and Life
"Practical power is just as important as intellectual skills. How far be this true in your club?", Work and Life
"Practical ability is just as of import as noetic skills. How far is this rightful in your society?", Work and Life
"Hardheaded ability is just as important as intellectual skill. How far is this straight in your company?", Work and Life
"People world health organization do the almost worthwhile jobs rarely receive the best fiscal rewards. To what extent be this true of your fellowship?", Work and Life
"People who do the near worthwhile caper rarely have the best financial reward. To what extent is this true of your society?", Work and Life
"Mass who do the most worthwhile jobs rarely receive the best financial wages. To what extent follow this unfeigned of your society?", Work and Life
"People world health organization do the most worthwhile jobs seldom find the best financial reinforcement. To what extent follow this true of your society?", Work and Life
"How far should firms be leave to limit their workers ' rights when profits are at stake?", Work and Life
"How far should firms be allow to limit their workers ' right when net income are at stake?", Work and Life
"How far should firms be set aside to throttle their workers ' rights when profits are at stake?", Work and Life
"How far should firms make up allowed to limit their actor ' rights when net be at stake?", Work and Life
"Consider the view that some calling are good suited to one gender than the early.", Work and Life
"Consider the view that some life history are better suited to nonpareil gender than the other.", Work and Life
"Consider the view that some careers are better suit to peerless grammatical gender than the other.", Work and Life
"Consider the view that some vocation are better suited to one gender than the former.", Work and Life
"Consider the view that most work these sidereal day could, and should, live done from home.", Work and Life
"Moot the opinion that most work these days could, and should, be make from rest home.", Work and Life
"Consider the persuasion that most work these days could, and should, constitute done from home.", Work and Life
"View the view that most work these days could, and should, embody done from family.", Work and Life
"Alternatively of speeding up the pace of life, we should be slowing it low spirited. What exercise you think?", Work and Life
"Alternatively of accelerate up the pace of life, we should be slowing information technology down. What do you think?", Work and Life
"Instead of quicken upwards the gait of life, we should be slowing it down. What perform you remember?", Work and Life
"Instead of speeding up the yard of life, we should be slowing it mastered. What do you think?", Work and Life
"Do you agree that metropolis life is becoming increasingly untempting?", Work and Life
"Do you agree that urban center life comprise becoming progressively unattractive?", Work and Life
"Do you agree that metropolis life be become increasingly unattractive?", Work and Life
"Act you agree that urban center life is becoming more and more unattractive?", Work and Life
"The household has suffered at the expense of life history in Singaporean society. Is this a comely comment?", Work and Life
"The home has suffered at the expense of calling in Singaporean society. Be this a fair comment?", Work and Life
"The home has suffer at the expense of career in Singaporean high society. Is this a bonny comment?", Work and Life
"The category has suffered at the expense of vocation in Singaporean society. Is this a fairish comment?", Work and Life
"Assess the grandness of nutrient within Singaporean culture.", Singapore
"Assess the importance of food within Singaporean culture.", Singapore
"Assess the importance of food within Singaporean culture.", Singapore
"Many highly developed countries be pay off increasing attention to the needs of the disadvantaged. How far is this on key in Singapore?", Singapore
"Many developed countries are ante up increasing care to the needs of the disadvantaged. How far is this dependable in Republic of singapore?", Singapore
"Many developed countries be paying increase attending to the indigence of the disadvantaged. How far is this true in Singapore?", Singapore
"How authoritative is a sense of history in form the future of Singapore ' s society?", Singapore
"How important be a sense of history in shaping the hereafter of Capital of singapore ' mho society?", Singapore
"How authoritative be a sentiency of account in shaping the future of Singapore ' s social club?", Singapore
"Do myths and legends still deliver a role to play in Singapore?", Singapore
"Behave myths and legends still have a role to play in Republic of singapore?", Singapore
"Coiffe myths and caption still have a role to fiddle in Singapore?", Singapore
"Do the arts, such as music and lit, really play a significant part in Singaporean company?", Singapore
"Do the arts, such as euphony and literature, really play a pregnant role in Singaporean gild?", Singapore
"Execute the arts, such as music and literature, really act a substantial role in Singaporean society?", Singapore
"The tourist does not witness the land the dweller love. How far is this true of Singapore?", Singapore
"The tourist cause non see the country the inhabitants get it on. How far is this true of Singapore?", Singapore
"The holidaymaker do not see the nation the inhabitants know. How far is this rightful of Singapore?", Singapore
"How far do magazines operating theater television programmes aim at young people in Republic of singapore consume a positive result?", Singapore
"How far do magazines or telly program direct at young people in Singapore island have a positive effect?", Singapore
"How far do magazine or tv set programmes direct at young people in Singapore have a prescribed effect?", Singapore
"To what extent are the immature in Capital of singapore favour at the expense of the elderly?", Singapore
"To what extent be the untried in Singapore favoured at the expense of the elderly?", Singapore
"To what extent be the young in Singapore favoured at the disbursal of the elderly?", Singapore
"How far can the needs of minorities be meet in innovative Singapore?", Singapore
"How far force out the pauperism of minorities be met in modern Singapore?", Singapore
"How far can the needs of minority exist met in modern Singapore island?", Singapore
"Was life for new hoi polloi in Singapore punter in the past than it represent today?", Singapore
"Washington life for young people in Singapore wagerer in the past than information technology is today?", Singapore
"Was living for young people in Singapore better in the yesteryear than it is today?", Singapore
"The family has suffered at the disbursement of life history in Singaporean order. Is this a fair comment?", Singapore
"The family has endure at the disbursal of career in Singaporean society. Is this a sightly comment?", Singapore
"The family get suffer at the expense of calling in Singaporean society. Be this a fair comment?", Singapore
"To what extent comprise people estimate more by their physical appearance than by their abilities?", Miscellaneous
"To what extent be people judged more than by their physical appearance than by their abilities?", Miscellaneous
"To what extent live people try more than by their physical appearance than by their power?", Miscellaneous
"To what extent be multitude adjudicate more by their physical appearance than by their abilities?", Miscellaneous
"To what extent embody people judged more by their forcible appearance than by their abilities?", Miscellaneous
"To what extent are people judged more than by their strong arm appearance than by their ability?", Miscellaneous
"To what extent comprise people judged more by their physical appearance than by their abilities?", Miscellaneous
"Is there any point in trying to predict next vogue?", Miscellaneous
"Be there any point in trying to predict future trend?", Miscellaneous
"Be there any point in trying to call succeeding trends?", Miscellaneous
"Is in that location any point in trying to bode future trends?", Miscellaneous
"Is there any point in essay to bode future trend?", Miscellaneous
"Represent there any stop in trying to predict future trends?", Miscellaneous
"Is there any point in trying to prognosticate future trends?", Miscellaneous
"Can buoy humour ever be serious?", Miscellaneous
"Can humour ever so be serious?", Miscellaneous
"Can humour always be serious?", Miscellaneous
"Can humour ever embody serious?", Miscellaneous
"Can humour ever constitute serious?", Miscellaneous
"Buttocks humour ever be serious?", Miscellaneous
"Can humor ever be serious?", Miscellaneous
"Perform awards and prizes serve any useful purpose?", Miscellaneous
"Dress awards and prizes serve any utilitarian purpose?", Miscellaneous
"Do prize and prize serve any useful purpose?", Miscellaneous
"Do awards and dirty money serve any utile purpose?", Miscellaneous
"Practice awards and plunder serve any useful purpose?", Miscellaneous
"Do awards and prizes dish out any utile purpose?", Miscellaneous
"Come awards and prizes do any useful purpose?", Miscellaneous
"Far too much attention is kick in to beauty products and treatments. Do you agree?", Miscellaneous
"Far too much attention is given to beauty product and handling. Coiffe you agree?", Miscellaneous
"Far too much attention is give to beauty products and handling. Make you agree?", Miscellaneous
"Far too much care is pass to beauty products and treatments. Practice you agree?", Miscellaneous
"Far too much tending is given to beauty product and treatments. Practice you agree?", Miscellaneous
"Far too much aid is given to beauty products and treatments. Come you agree?", Miscellaneous
"Far too much attention is devote to beauty products and treatments. Arrange you harmonise?", Miscellaneous
Question,Topic
"Rehabilitation, not punishment, should be the purpose of the justice system. Discuss.",Crime and Punishment
To what extent is it possible to make the punishment fit the crime?,Crime and Punishment
How far can an individual be held responsible for crimes against humanity?,Crime and Punishment
Should crimes that were committed many years ago simply be forgotten?,Crime and Punishment
Too much attention is given to criminals; not enough to their victims. Is this true?,Crime and Punishment
Should the police have unlimited powers when dealing with crime?,Crime and Punishment
The quality of written language is being destroyed by social media. What is your view?,Language and Writing
Consider the view that spoken language is more important than the written form.,Language and Writing
Is there any value in preserving minority languages in the world?,Language and Writing
Are certain types of writing superior to others?,Language and Writing
The pen is mightier than the sword. Can written language really be so powerful?,Language and Writing
A picture is always more powerful than mere words. What is your view?,Language and Writing
The world would be a better place if everyone spoke the same language. Discuss.,Language and Writing
Can fiction teach us anything meaningful about the real world?,"Reading Fiction & Stories"
"Any adaptation of a novel for a film, television or the theatre is never as effective as the original. Discuss.","Reading Fiction & Stories"
Books serve little purpose in education as technological developments become more sophisticated.- How far do you agree?,"Reading Fiction & Stories"
'The book has no place in modern society.' Discuss.,"Reading Fiction & Stories"
"Nowadays, the pleasures of reading can never compete with the pleasures of visual entertainment.- To what extent do you agree?","Reading Fiction & Stories"
Discuss the appeal and value of fantasy stories and films.,"Reading Fiction & Stories"
Does the book still have a future?,"Reading Fiction & Stories"
An appreciation of music is vital for a fully rounded education. How true is this of your society?,The Arts 
Works of art which have been removed from their country of origin should be returned. Discuss.,The Arts 
Examine the role of music in establishing a national identity in your society.,The Arts 
"In your society, to what extent is it acceptable for public money to be used for the acquisition of works of art?",The Arts 
To what extent should the arts in your society focus on local rather than foreign talent?,The Arts 
"For the majority of people, the Arts are irrelevant to their daily lives. How true is this of your society?",The Arts 
"Unlike the Arts, such as writing or music, Mathematics lacks the capacity for creativity. How far do you agree with this statement?",The Arts 
"People in the Arts, living or dead, receive far more recognition than those in the Sciences, though it is less deserved.- Consider this claim.",The Arts 
Only modern architecture and modern art have a place in today's world. How true is this of your society?,The Arts 
"Would it matter if all the performing arts venues in your society, such as concert halls and theatres, were closed down?",The Arts 
"The arts cannot change the world but they make it more beautiful. Discuss this view with reference to one of the following: painting, sculpture or music.",The Arts 
"Do the arts, such as music and literature, really play a significant role in Singaporean society?",The Arts 
Contemporary music has no artistic value. Is this a fair comment?,The Arts 
A work of art can never be valued in just financial terms. Discuss.,The Arts 
Assess the importance of food within Singaporean culture.,Culture and Traditions
Do handicrafts still have value when machine-produced goods are so readily available?,Culture and Traditions
Assess the view that traditional buildings have no future in your society.,Culture and Traditions
How important is it for people in your society to retain a sense of tradition?,Culture and Traditions
Assess the impact of foreign films or foreign TV programmes on the culture of your society.,Culture and Traditions
Fashion is as much a good thing as a bad thing. To what extent do you agree?,Culture and Traditions
Can a belief in the supernatural be sustained in our modern world?,Culture and Traditions
Do myths and legends still have a role to play in Singapore?,Culture and Traditions
An appreciation of music is vital for a fully rounded education. How true is this of your society?,Education
Practical ability is just as important as intellectual skills.- How far is this true in your society?,Education
Books serve little purpose in education as technological developments become more sophisticated. How far do you agree?,Education
Education should only be concerned with what is useful in life. Discuss.,Education
Only educated people should have the right to vote in elections. What is your view?,Education
The word failure should never be used in education. Discuss.,Education
Conformity should be the main aim of all schools. How far is this true?,Education
How far can prosperity and uncontrolled population growth go hand in hand?,Economics
Science is the only answer to global hunger. Discuss.,Economics
Foreign aid does not solve long-term problems. To what extent is this a fair viewpoint?,Economics
To what extent is the pursuit of continuous economic growth a desirable goal?,Economics
How far is increased prosperity for all a realistic goal in your society?,Economics
How effective are international efforts to ease the problem of global hunger?,Economics
Is the elimination of global poverty a realistic aim?,Economics
Are the poor an inevitable feature of any society?,Economics
Is there still a place for charity in today's world?,Economics
"How far do physical features, such as size and location, determine a country's progress?",Economics
Should poorer countries develop their tourist industry when the basic needs of their own people are not being met?,Economics
To what extent should income equality be a goal in your society?,Business and Economics
How far should firms be allowed to limit their workers' rights when profits are at stake?,Business and Economics
How far is it possible to ensure that all producers of food and goods are fairly rewarded?,Business and Economics
Mass production inevitably means a loss of craftsmanship and quality. Is this true in your society?,Business and Economics
Entrepreneurship is just another name for personal greed. How far do you agree with this statement?,Business and Economics
To what extent should the State involve itself in the world of business?,Business and Economics
Have multi-national businesses had a positive or negative impact on your society?,Business and Economics
To what extent are small businesses preferable to large ones?,Business and Economics
Assess the view that attempts to control climate change can never be truly effective.,Energy and the Environment
Assess the view that most natural disasters are the result of human activity.,Energy and the Environment
Should there be any controls over the production of energy when the need for it is so great?,Energy and the Environment
"In your society, how well are the demands of the economy and the environment balanced?",Energy and the Environment
"Discuss the view that, with an increasing global need for energy, every possible source should be exploited to the full.",Energy and the Environment
How important is it to save plant and animal species which are in danger of extinction?,Energy and the Environment
Environmental concerns and economic growth cannot co-exist. Do you agree?,Energy and the Environment
Can transport of food over vast distances be justified?,Energy and the Environment
"Air travel should be discouraged, not promoted. To what extent do you agree?",Energy and the Environment
Is it possible to protect the environment when many countries require increasing amounts of energy to progress?,Energy and the Environment
Examine the claim that the world is too dependent on oil.,Energy and the Environment
How far is recycling the answer to the problem of waste?,Energy and the Environment
Air travel creates more problems than benefits. Is this a fair comment?,Energy and the Environment
"When a government's finances for social welfare are limited, should they be directed towards the young or the old?","Family Marriage Youth "
To what extent do young people in your society take an interest in politics?,"Family Marriage Youth "
How far do magazines or television programmes aimed at young people in Singapore have a positive effect?,"Family Marriage Youth "
To what extent are the young in Singapore favoured at the expense of the elderly?,"Family Marriage Youth "
Was life for young people in Singapore better in the past than it is today?,"Family Marriage Youth "
Should both parents take equal responsibility for raising their children?,"Family Marriage Youth "
Parents have no right to impose their own values and beliefs on their children. Discuss.,"Family Marriage Youth "
Traditional marriage is an outdated concept. To what extent is this true of your society?,"Family Marriage Youth "
Should people be allowed to have children by artificial means?,"Family Marriage Youth "
The family has suffered at the expense of career in Singaporean society. Is this a fair comment?,"Family Marriage Youth "
"Evaluate the claim that equality of opportunity for females is a desirable, but unrealistic, goal.",Gender
Consider the view that some careers are better suited to one gender than the other.,Gender
Women will never enjoy the same rights as men. Do you agree?,Gender
"History records male acts, written by males, and holds little interest for females as a result. Is this a fair comment?",Gender
The world would be a better place if more political leaders were women.- What is your view?,Gender
How far can prosperity and uncontrolled population growth go hand in hand?,Population and Migration
Longer life expectancy creates more problems than benefits. Discuss.,Population and Migration
To what extent does the migration of people have a positive effect?,Population and Migration
To what extent can any society claim to be great?,Globalisation
"Given greater levels of international cooperation, how necessary is it for countries to engage in the arms trade?",Globalisation
Is globalisation to be welcomed or feared today?,Globalisation
"In the global village we inhabit, there is no justification for national boundaries. How far do you agree?",Globalisation
How far is it important for people to be aware of current events in countries other than their own?,Globalisation
"In times of economic hardship, should a country still be expected to provide financial or material aid to others?",Globalisation
Discuss the claim that in the modern world people should care more about international than national issues.,Globalisation
Why should we be concerned with current affairs when most of them will soon be forgotten?,Globalisation
How far should countries aim to be self-sufficient?,Globalisation
Should a love of one's country still be encouraged?,Globalisation
To what extent does the migration of people have a positive effect?,Globalisation
National boundaries make little geographical or economic sense nowadays. Discuss.,Globalisation
Can small countries have a significant voice in world affairs?,Globalisation
Is modern technology a benefit or a threat to democracy?,Governance
"In a free society, there should be no restrictions on freedom of speech.' Discuss.",Governance
"When a government's finances for social welfare are limited, should they be directed towards the young or the old?",Governance
"How far, in your society, should unpopular views be open to discussion?",Governance
The key criterion for good government is how well the economy is managed.- Is this a fair assessment?,Governance
Consider the view that efficient government is more important than democracy.,Governance
How far should religion influence political decisions?,Governance
How far is your country prepared for future crises?,Governance
To what extent should the State involve itself in the world of business?,Governance
"People, not the government, should decide how to organise their lives. Is this a fair comment?",Governance
Should the police have unlimited powers when dealing with crime?,Governance
"Should politicians pursue the popular viewpoint or their own convictions, if they conflict?",Leadership
"A leader's responsibility should always be to his or her own country, not other nations. Discuss.",Leadership
Consider the view that social media has more influence than politicians.,Leadership
"Do events, rather than politicians, shape the future?",Leadership
The world would be a better place if more political leaders were women. What is your view?,Leadership
The most influential individuals in history are those who have caused the most harm. How far would you accept this view?,Leadership
'No politician's reputation can survive the judgement of time.' How true is this?,Leadership
"As long as people in the public eye do their job well, does it matter what they do in private?",Leadership
A good leader must always look beyond the needs of his or her country. Do you agree?,Leadership
"Given greater levels of international cooperation, how necessary is it for countries to engage in the arms trade?","Intervention conflict and war"
How far should countries have relations with others whose human rights record is poor?,"Intervention conflict and war"
Countries experiencing conflict should be left to sort out their own problems. How far do you agree?,"Intervention conflict and war"
How far is it possible for one country to forgive another for its past actions?,"Intervention conflict and war"
Examine the extent to which expenditure on arms and the armed forces is justifiable in the modern world.,"Intervention conflict and war"
"In times of economic hardship, should a country still be expected to provide financial or material aid to others?","Intervention conflict and war"
No cause is ever worth dying for. Discuss.,"Intervention conflict and war"
Is violence ever justified?,"Intervention conflict and war"
The prospect of a Third World War is now unthinkable. Do you agree?,"Intervention conflict and war"
Can small countries have a significant voice in world affairs?,"Intervention conflict and war"
Does the presence of a foreign power ever help a country with problems?,"Intervention conflict and war"
"Given greater levels of international cooperation, how necessary is it for countries to engage in the arms trade?","Security Issues - terrorism security privacy"
Discuss the view that all countries have an equal responsibility to counter terrorism.,"Security Issues - terrorism security privacy"
To what extent has technology had an impact on both privacy and security in your country?,"Security Issues - terrorism security privacy"
How far should a state have a right to monitor the actions of people within its borders?,"Security Issues - terrorism security privacy"
Can the trade in weapons ever be justified?,"Security Issues - terrorism security privacy"
Should the police have unlimited powers when dealing with crime?,"Security Issues - terrorism security privacy"
The prospect of a Third World War is now unthinkable.- Do you agree?,"Security Issues - terrorism security privacy"
Air travel creates more problems than benefits. Is this a fair comment?,"Security Issues - terrorism security privacy"
Hosting major sporting events creates more problems than benefits. Do you agree?,"Security Issues - terrorism security privacy"
The past is not dead; it is not even past. Discuss.,History 
The most influential individuals in history are those who have caused the most harm. How far would you accept this view?,History 
"History records male acts, written by males, and holds little interest for females as a result. Is this a fair comment?",History 
How important is a sense of history in shaping the future of Singapore's society?,History 
Do the past and present offer any guidance for the future?,History 
Is History anything more than the study of warfare?,History 
Does a study of history make you optimistic or pessimistic about the future of the human race?,History 
Should crimes that were committed many years ago simply be forgotten?,History 
"How far do physical features, such as size and location, determine a country's progress?",Geography
National boundaries make little geographical or economic sense nowadays. Discuss.,Geography
Can transport of food over vast distances be justified?,Tourism and Transportation
"Air travel should be discouraged, not promoted. To what extent do you agree?",Tourism and Transportation
Should poorer countries develop their tourist industry when the basic needs of their own people are not being met?,Tourism and Transportation
The tourist does not see the country the inhabitants know. How far is this true of Singapore?,Tourism and Transportation
Air travel creates more problems than benefits. Is this a fair comment?,Tourism and Transportation
How reliable are statistics as a guide for planning the future?,Mathematics and Statistics
How far has modern technology made it unnecessary for individuals to possess mathematical skills?,Mathematics and Statistics
"Unlike the Arts, such as writing or music, Mathematics lacks the capacity for creativity. How far do you agree with this statement?",Mathematics and Statistics
"Consider the view that mathematics possesses not only truth, but supreme beauty.",Mathematics and Statistics
Can mathematics been seen as anything more than a useful tool in everyday life?,Mathematics and Statistics
Discuss the view that too much faith is placed in statistics.,Mathematics and Statistics
"Consider the view that the study of mathematics is intellectually satisfying, but of little practical use.",Mathematics and Statistics
Statistics measure everything but prove nothing. Discuss.,Mathematics and Statistics
Does violence in the visual media portray reality or encourage the unacceptable?,Mass Media
Is regulation of the press desirable?,Mass Media
Consider the argument that the main purpose of television should be to educate rather than simply to entertain.,Mass Media
Do films offer anything more than an escape from reality?,Mass Media
In the digital age do newspapers still have a role in your society?,Mass Media
Assess the impact of foreign films or foreign TV programmes on the culture of your society.,Mass Media
"To what extent do the newspapers and magazines that you read deal with what is trivial, rather than what is important?",Mass Media
How far do magazines or television programmes aimed at young people in Singapore have a positive effect?,Mass Media
Can the media ever be relied on to convey the truth?,Mass Media
There is no such thing as bad publicity. To what extent is this true?,Advertising
"Advertisements are often entertaining, but they rarely affect consumer choice. Is this your experience?",Advertising
Advertising encourages a desire for products which people do not actually need. Discuss.,Advertising
Religion is an important part of the lives of young people today. Consider whether this is true in your society.,Religion
"Human actions should be based on scientific fact, not religious faith. How far do you agree with this statement?",Religion
How far should religion influence political decisions?,Religion
"The more science advances, the more religion will decline. To what extent do you agree?",Religion
Can a belief in the supernatural be sustained in our modern world?,Religion
Discuss the importance of religion in society today.,Religion
Science and religion will always conflict. Discuss.,Religion
Science is the only answer to global hunger. Discuss.,Science
How far is science fiction becoming fact?,Science
Can the use of animals for scientific research ever be justified?,Science
"Human need, rather than profit, should always be the main concern of scientific research. Discuss.",Science
"Human actions should be based on scientific fact, not religious faith. How far do you agree with this statement?",Science
To what extent can the regulation of scientific or technological developments be justified?,Science
Scientific research into health and diet is unreliable as it so often contradicts itself. Is this a fair comment?,Science
To what extent is it acceptable for private companies to be involved in financing scientific research?,Science
Can space research be justified nowadays?,Science
"Science is unreliable, being based as much on theory as on fact. Is this a fair comment?",Science
Should every country have the right to carry out unlimited scientific research?,Science
How inventions and discoveries are used is not the concern of the scientist. Do you agree?,Science
Is effective farming possible without science?,Science
Is there a case for keeping animals in zoos?,Science
Science and religion will always conflict. Discuss.,Science
Is modern technology a benefit or a threat to democracy?,Technology
To what extent is artificial intelligence replacing the role of humans?,Technology
Do handicrafts still have value when machine-produced goods are so readily available?,Technology
"In an age of rapid technological advancement, is a single career for life realistic?",Technology
How far has modern technology made it unnecessary for individuals to possess mathematical skills?,Technology
How far is it acceptable for technology to be used only for financial benefit?,Technology
To what extent has technology had a negative impact on the skill levels of people?,Technology
To what extent has technology had an impact on both privacy and security in your country?,Technology
Does modern technology always improve the quality of people's lives?,Technology
Does the modern world place too much reliance on technology?,Technology
Consider the view that we do not take enough responsibility for our own well-being.,"Medicine, Medical Science and Health"
Longer life expectancy creates more problems than benefits. Discuss.,"Medicine, Medical Science and Health"
Scientific research into health and diet is unreliable as it so often contradicts itself. Is this a fair comment?,"Medicine, Medical Science and Health"
Should people be allowed to have children by artificial means?,"Medicine, Medical Science and Health"
Should everyone be expected to donate suitable organs after death?,"Medicine, Medical Science and Health"
How far should medical resources be used to extend life expectancy?,"Medicine, Medical Science and Health"
Should medical science always seek to prolong life?,"Medicine, Medical Science and Health"
Should research into expensive medical treatments be allowed when only a few can afford them?,"Medicine, Medical Science and Health"
Medical science has been so successful that people now expect too much of it. Discuss.,"Medicine, Medical Science and Health"
How effectively is public health promoted and managed in your society?,"Medicine, Medical Science and Health"
'The key to good health is lifestyle rather than medicine.' How far do you agree?,"Medicine, Medical Science and Health"
If people become ill it is largely their own fault. How far do you agree?,"Medicine, Medical Science and Health"
"Individuals achieve sporting success, not nations. Discuss.",Sport
To what extent is sporting achievement given adequate recognition in your society?,Sport
"Considering the money involved, should developing countries be allowed to host major sporting events?",Sport
Gambling on sport undermines its spirit and should be banned. How realistic is this position?,Sport
Does sport merit the vast sums of money that are spent on it?,Sport
Hosting major sporting events creates more problems than benefits. Do you agree?,Sport
Is modern technology a benefit or a threat to democracy?,"Rights Injustices and Fair Treatment"
"In a free society, there should be no restrictions on freedom of speech.' Discuss.","Rights Injustices and Fair Treatment"
How far should countries have relations with others whose human rights record is poor?,"Rights Injustices and Fair Treatment"
"Everyone has an opinion, but not everyone's opinion is of equal value. What is your view?","Rights Injustices and Fair Treatment"
"In your society, how far is equality for all a reality?","Rights Injustices and Fair Treatment"
To what extent are the rights of animals protected in your society?,"Rights Injustices and Fair Treatment"
Can prejudice ever be eliminated?,"Rights Injustices and Fair Treatment"
Only educated people should have the right to vote in elections. What is your view?,"Rights Injustices and Fair Treatment"
To what extent has technology had an impact on both privacy and security in your country?,"Rights Injustices and Fair Treatment"
Many developed countries are paying increasing attention to the needs of the disadvantaged. How far is this true in Singapore?,"Rights Injustices and Fair Treatment"
The view of the majority is always right. Do you agree?,"Rights Injustices and Fair Treatment"
How far should a state have a right to monitor the actions of people within its borders?,"Rights Injustices and Fair Treatment"
How far can the needs of minorities be met in modern Singapore?,"Rights Injustices and Fair Treatment"
To what extent is human life in general about the survival of the fittest?,Reflective
To what extent can any society claim to be great?,Reflective
Is pressure a motivating force or a cause for unhappiness?,Reflective
How far is failure an essential part of success?,Reflective
Is competition always desirable?,Reflective
No cause is ever worth dying for. Discuss.,Reflective
Getting what one wants in life is what matters. Discuss.,Reflective
Taking risks is an essential part of life and should be encouraged. Discuss.,Reflective
'The person who dies rich dies disgraced.' Discuss.,Reflective
How important are dreams?,Reflective
There is no such thing as luck. People determine their own lives. Do you agree?,Reflective
The only worthwhile form of discipline is self-discipline. Discuss.,Reflective
Is friendly rivalry ever possible?,Reflective
People today do not work as hard as they did in the past. How true is this of your society?,Work and Life
"In an age of rapid technological advancement, is a single career for life realistic?",Work and Life
Practical ability is just as important as intellectual skills. How far is this true in your society?,Work and Life
People who do the most worthwhile jobs rarely receive the best financial rewards. To what extent is this true of your society?,Work and Life
How far should firms be allowed to limit their workers' rights when profits are at stake?,Work and Life
Consider the view that some careers are better suited to one gender than the other.,Work and Life
"Consider the view that most work these days could, and should, be done from home.",Work and Life
"Instead of speeding up the pace of life, we should be slowing it down. What do you think?",Work and Life
Do you agree that city life is becoming increasingly unattractive?,Work and Life
The family has suffered at the expense of career in Singaporean society. Is this a fair comment?,Work and Life
Assess the importance of food within Singaporean culture.,Singapore
Many developed countries are paying increasing attention to the needs of the disadvantaged. How far is this true in Singapore?,Singapore
How important is a sense of history in shaping the future of Singapore's society?,Singapore
Do myths and legends still have a role to play in Singapore?,Singapore
"Do the arts, such as music and literature, really play a significant role in Singaporean society?",Singapore
The tourist does not see the country the inhabitants know. How far is this true of Singapore?,Singapore
How far do magazines or television programmes aimed at young people in Singapore have a positive effect?,Singapore
To what extent are the young in Singapore favoured at the expense of the elderly?,Singapore
How far can the needs of minorities be met in modern Singapore?,Singapore
Was life for young people in Singapore better in the past than it is today?,Singapore
The family has suffered at the expense of career in Singaporean society. Is this a fair comment?,Singapore
"We shape our buildings, but then our buildings shape us. To what extent is this true of your society?",Society
